bathrooms,bedrooms,city,homeStatus,homeType,livingArea,price,rentZestimate,zipcode
4.0,3.0,Santa Monica,FOR_SALE,SINGLE_FAMILY,3046.0,5549000.0,,90402
2.0,4.0,Santa Monica,FOR_SALE,SINGLE_FAMILY,1865.0,3750000.0,7665.0,90402
1.0,1.0,Santa Monica,FOR_SALE,CONDO,1043.0,639900.0,4596.0,90403
3.0,3.0,Santa Monica,FOR_SALE,TOWNHOUSE,1390.0,1200000.0,5649.0,90405
8.0,7.0,Santa Monica,FOR_SALE,SINGLE_FAMILY,8200.0,19995000.0,17895.0,90402
9.0,7.0,Santa Monica,FOR_SALE,SINGLE_FAMILY,5269.0,22995000.0,7285.0,90403
1.0,2.0,Santa Monica,FOR_SALE,CONDO,784.0,599000.0,3302.0,90404
5.0,6.0,Santa Monica,FOR_SALE,SINGLE_FAMILY,4065.0,6475000.0,21407.0,90402
6.0,4.0,Santa Monica,FOR_SALE,SINGLE_FAMILY,5200.0,22995000.0,5741.0,90403
3.0,4.0,Santa Monica,FOR_SALE,SINGLE_FAMILY,2245.0,4265500.0,8286.0,90402
2.0,2.0,Santa Monica,FOR_SALE,CONDO,850.0,890000.0,3868.0,90405
2.0,2.0,Santa Monica,FOR_SALE,CONDO,1009.0,699999.0,4437.0,90404
1.0,1.0,Santa Monica,FOR_SALE,SINGLE_FAMILY,440.0,1100000.0,,90403
1.0,1.0,Santa Monica,FOR_SALE,CONDO,722.0,499000.0,3356.0,90404
9.0,5.0,Santa Monica,FOR_SALE,SINGLE_FAMILY,13957.0,22500000.0,81236.0,90402
3.0,3.0,Santa Monica,FOR_SALE,TOWNHOUSE,1588.0,1599000.0,6910.0,90403
7.0,5.0,Santa Monica,FOR_SALE,SINGLE_FAMILY,6000.0,8849000.0,29521.0,90402
6.0,5.0,Santa Monica,FOR_SALE,SINGLE_FAMILY,4051.0,4998000.0,6495.0,90402
3.0,3.0,Santa Monica,FOR_SALE,TOWNHOUSE,1634.0,1749999.0,6508.0,90403
4.0,6.0,Santa Monica,FOR_SALE,SINGLE_FAMILY,4148.0,5890000.0,22583.0,90402
1.0,2.0,Santa Monica,FOR_SALE,CONDO,784.0,675000.0,3304.0,90404
2.0,2.0,Santa Monica,FOR_SALE,SINGLE_FAMILY,1019.0,2299000.0,5657.0,90403
5.0,4.0,Santa Monica,FOR_SALE,SINGLE_FAMILY,3974.0,6395000.0,22723.0,90402
6.0,6.0,Santa Monica,FOR_SALE,SINGLE_FAMILY,5900.0,8995000.0,28257.0,90402
3.0,2.0,Santa Monica,FOR_SALE,TOWNHOUSE,1905.0,1799000.0,6328.0,90403
5.0,4.0,Santa Monica,FOR_SALE,TOWNHOUSE,2915.0,2490000.0,7202.0,90404
2.0,2.0,Santa Monica,FOR_SALE,CONDO,1039.0,1075000.0,4833.0,90403
9.0,7.0,Santa Monica,FOR_SALE,SINGLE_FAMILY,8418.0,11950000.0,43863.0,90402
3.0,3.0,Santa Monica,FOR_SALE,TOWNHOUSE,1392.0,1095000.0,5611.0,90404
3.0,3.0,Santa Monica,FOR_SALE,SINGLE_FAMILY,2284.0,4295000.0,14195.0,90402
4.0,3.0,Santa Monica,FOR_SALE,TOWNHOUSE,2550.0,2900000.0,9087.0,90403
1.0,1.0,Santa Monica,FOR_SALE,CONDO,756.0,575000.0,3258.0,90405
2.0,2.0,Santa Monica,FOR_SALE,CONDO,1369.0,1368000.0,5707.0,90403
3.0,3.0,Santa Monica,FOR_SALE,TOWNHOUSE,1600.0,1450000.0,6621.0,90403
1.0,1.0,Santa Monica,FOR_SALE,CONDO,595.0,689000.0,3125.0,90403
2.0,3.0,Santa Monica,FOR_SALE,CONDO,1141.0,1024000.0,5632.0,90403
5.0,4.0,Santa Monica,FOR_SALE,SINGLE_FAMILY,5228.0,7199000.0,6125.0,90402
4.0,5.0,Santa Monica,FOR_SALE,SINGLE_FAMILY,3294.0,5300000.0,8924.0,90402
2.0,2.0,Santa Monica,FOR_SALE,CONDO,962.0,849500.0,4875.0,90403
1.0,3.0,Santa Monica,FOR_SALE,SINGLE_FAMILY,1873.0,3700000.0,5792.0,90402
3.0,3.0,Santa Monica,FOR_SALE,CONDO,1460.0,1494000.0,6353.0,90402
